lat,lng,elevation
2.3187,33.2504,1041.6553
2.3188,33.2504,1041.5963
2.3189,33.2504,1041.5101
2.319,33.2504,1041.4235
2.3191,33.2504,1041.3368
2.3192,33.2504,1041.2501
2.3193,33.2504,1041.1635
2.3194,33.2504,1041.0768
2.3195,33.2504,1040.9666
2.3196,33.2504,1040.6753
2.3197,33.2504,1040.384
2.3198,33.2504,1040.0928
2.3199,33.2504,1039.8015
2.32,33.2504,1039.5103
2.3201,33.2504,1039.219
2.3202,33.2504,1038.9492
2.3203,33.2504,1038.7446
2.3204,33.2504,1038.54
2.3205,33.2504,1038.3354
2.3206,33.2504,1038.1309
2.3207,33.2504,1037.9263
2.3208,33.2504,1037.7217
2.3209,33.2504,1037.5502
2.321,33.2504,1037.4324
2.3211,33.2504,1037.3145
2.3212,33.2504,1037.1965
2.3213,33.2504,1037.0786
2.3214,33.2504,1036.9607
2.3215,33.2504,1036.8429
2.3216,33.2504,1036.9358
2.3217,33.2504,1037.2271
2.3218,33.2504,1037.5183
2.3219,33.2504,1037.8097
2.322,33.2504,1038.101
2.3221,33.2504,1038.3922
2.3222,33.2504,1038.6835
2.3223,33.2504,1038.9747
2.3224,33.2504,1039.266
2.3225,33.2504,1039.5573
2.3226,33.2504,1039.8485
2.3227,33.2504,1040.1398
2.3228,33.2504,1040.431
2.3229,33.2504,1040.7223
2.323,33.2504,1040.8535
2.3231,33.2504,1040.9402
2.3232,33.2504,1041.0269
2.3233,33.2504,1041.1136
2.3234,33.2504,1041.2003
2.3235,33.2504,1041.287
2.3236,33.2504,1041.3737
2.3237,33.2504,1041.4349
2.3238,33.2504,1041.4939
2.3239,33.2504,1041.5529
2.324,33.2504,1041.6118
2.3241,33.2504,1041.6708
2.3242,33.2504,1041.7297
2.3243,33.2504,1041.7886
2.3244,33.2504,1041.8475
2.3245,33.2504,1041.9065
2.3182,33.2505,1041.932
2.3183,33.2505,1041.8519
2.3184,33.2505,1041.7717
2.3185,33.2505,1041.6915
2.3186,33.2505,1041.6115
2.3187,33.2505,1041.5313
2.3188,33.2505,1041.451
2.3189,33.2505,1041.3854
2.319,33.2505,1041.3198
2.3191,33.2505,1041.2544
2.3192,33.2505,1041.189
2.3193,33.2505,1041.1234
2.3194,33.2505,1041.058
2.3195,33.2505,1040.9666
2.3196,33.2505,1040.6753
2.3197,33.2505,1040.384
2.3198,33.2505,1040.0928
2.3199,33.2505,1039.8015
2.32,33.2505,1039.5103
2.3201,33.2505,1039.219
2.3202,33.2505,1038.944
2.3203,33.2505,1038.7181
2.3204,33.2505,1038.4923
2.3205,33.2505,1038.2666
2.3206,33.2505,1038.0408
2.3207,33.2505,1037.8149
2.3208,33.2505,1037.5892
2.3209,33.2505,1037.3884
2.321,33.2505,1037.228
2.3211,33.2505,1037.0677
2.3212,33.2505,1036.9075
2.3213,33.2505,1036.7471
2.3214,33.2505,1036.5868
2.3215,33.2505,1036.4265
2.3216,33.2505,1036.4989
2.3217,33.2505,1036.7902
2.3218,33.2505,1037.0814
2.3219,33.2505,1037.3727
2.322,33.2505,1037.6639
2.3221,33.2505,1037.9553
2.3222,33.2505,1038.2466
2.3223,33.2505,1038.5378
2.3224,33.2505,1038.8291
2.3225,33.2505,1039.1204
2.3226,33.2505,1039.4116
2.3227,33.2505,1039.7029
2.3228,33.2505,1039.9941
2.3229,33.2505,1040.2854
2.323,33.2505,1040.4
2.3231,33.2505,1040.4655
2.3232,33.2505,1040.531
2.3233,33.2505,1040.5964
2.3234,33.2505,1040.662
2.3235,33.2505,1040.7274
2.3236,33.2505,1040.7928
2.3237,33.2505,1040.8718
2.3238,33.2505,1040.952
2.3239,33.2505,1041.0321
2.324,33.2505,1041.1123
2.3241,33.2505,1041.1925
2.3242,33.2505,1041.2726
2.3243,33.2505,1041.3528
2.3244,33.2505,1041.433
2.3245,33.2505,1041.5131
2.3246,33.2505,1041.5933
2.3247,33.2505,1041.6735
2.3248,33.2505,1041.7535
2.3249,33.2505,1041.8337
2.325,33.2505,1041.9525
2.3182,33.2506,1041.9141
2.3183,33.2506,1041.8127
2.3184,33.2506,1041.7113
2.3185,33.2506,1041.61
2.3186,33.2506,1041.5085
2.3187,33.2506,1041.4072
2.3188,33.2506,1041.3059
2.3189,33.2506,1041.2605
2.319,33.2506,1041.2163
2.3191,33.2506,1041.172
2.3192,33.2506,1041.1277
2.3193,33.2506,1041.0835
2.3194,33.2506,1041.0392
2.3195,33.2506,1040.9666
2.3196,33.2506,1040.6753
2.3197,33.2506,1040.384
2.3198,33.2506,1040.0928
2.3199,33.2506,1039.8015
2.32,33.2506,1039.5103
2.3201,33.2506,1039.219
2.3202,33.2506,1038.9387
2.3203,33.2506,1038.6917
2.3204,33.2506,1038.4447
2.3205,33.2506,1038.1976
2.3206,33.2506,1037.9507
2.3207,33.2506,1037.7036
2.3208,33.2506,1037.4567
2.3209,33.2506,1037.2266
2.321,33.2506,1037.0238
2.3211,33.2506,1036.821
2.3212,33.2506,1036.6184
2.3213,33.2506,1036.4156
2.3214,33.2506,1036.2129
2.3215,33.2506,1036.0101
2.3216,33.2506,1036.062
2.3217,33.2506,1036.3533
2.3218,33.2506,1036.6445
2.3219,33.2506,1036.9358
2.322,33.2506,1037.2271
2.3221,33.2506,1037.5183
2.3222,33.2506,1037.8097
2.3223,33.2506,1038.101
2.3224,33.2506,1038.3922
2.3225,33.2506,1038.6835
2.3226,33.2506,1038.9747
2.3227,33.2506,1039.266
2.3228,33.2506,1039.5573
2.3229,33.2506,1039.8485
2.323,33.2506,1039.9465
2.3231,33.2506,1039.9908
2.3232,33.2506,1040.035
2.3233,33.2506,1040.0793
2.3234,33.2506,1040.1237
2.3235,33.2506,1040.1678
2.3236,33.2506,1040.2122
2.3237,33.2506,1040.3087
2.3238,33.2506,1040.41
2.3239,33.2506,1040.5115
2.324,33.2506,1040.6128
2.3241,33.2506,1040.7142
2.3242,33.2506,1040.8156
2.3243,33.2506,1040.9169
2.3244,33.2506,1041.0183
2.3245,33.2506,1041.1196
2.3246,33.2506,1041.2211
2.3247,33.2506,1041.3224
2.3248,33.2506,1041.4237
2.3249,33.2506,1041.5251
2.325,33.2506,1041.6613
2.3251,33.2506,1041.9525
2.3182,33.2507,1041.8961
2.3183,33.2507,1041.7736
2.3184,33.2507,1041.651
2.3185,33.2507,1041.5283
2.3186,33.2507,1041.4058
2.3187,33.2507,1041.2832
2.3188,33.2507,1041.1606
2.3189,33.2507,1041.1357
2.319,33.2507,1041.1127
2.3191,33.2507,1041.0896
2.3192,33.2507,1041.0665
2.3193,33.2507,1041.0435
2.3194,33.2507,1041.0204
2.3195,33.2507,1040.9666
2.3196,33.2507,1040.6753
2.3197,33.2507,1040.384
2.3198,33.2507,1040.0928
2.3199,33.2507,1039.8015
2.32,33.2507,1039.5103
2.3201,33.2507,1039.219
2.3202,33.2507,1038.9333
2.3203,33.2507,1038.6652
2.3204,33.2507,1038.397
2.3205,33.2507,1038.1288
2.3206,33.2507,1037.8606
2.3207,33.2507,1037.5923
2.3208,33.2507,1037.3241
2.3209,33.2507,1037.0647
2.321,33.2507,1036.8196
2.3211,33.2507,1036.5745
2.3212,33.2507,1036.3292
2.3213,33.2507,1036.0841
2.3214,33.2507,1035.839
2.3215,33.2507,1035.5938
2.3216,33.2507,1035.6251
2.3217,33.2507,1035.9164
2.3218,33.2507,1036.2076
2.3219,33.2507,1036.4989
2.322,33.2507,1036.7902
2.3221,33.2507,1037.0814
2.3222,33.2507,1037.3727
2.3223,33.2507,1037.6639
2.3224,33.2507,1037.9553
2.3225,33.2507,1038.2466
2.3226,33.2507,1038.5378
2.3227,33.2507,1038.8291
2.3228,33.2507,1039.1204
2.3229,33.2507,1039.4116
2.323,33.2507,1039.493
2.3231,33.2507,1039.5161
2.3232,33.2507,1039.5392
2.3233,33.2507,1039.5623
2.3234,33.2507,1039.5852
2.3235,33.2507,1039.6083
2.3236,33.2507,1039.6313
2.3237,33.2507,1039.7456
2.3238,33.2507,1039.8682
2.3239,33.2507,1039.9907
2.324,33.2507,1040.1133
2.3241,33.2507,1040.236
2.3242,33.2507,1040.3585
2.3243,33.2507,1040.4811
2.3244,33.2507,1040.6036
2.3245,33.2507,1040.7262
2.3246,33.2507,1040.8488
2.3247,33.2507,1040.9713
2.3248,33.2507,1041.094
2.3249,33.2507,1041.2166
2.325,33.2507,1041.37
2.3251,33.2507,1041.6613
2.3252,33.2507,1041.9525
2.3182,33.2508,1041.8782
2.3183,33.2508,1041.7344
2.3184,33.2508,1041.5906
2.3185,33.2508,1041.4468
2.3186,33.2508,1041.303
2.3187,33.2508,1041.1592
2.3188,33.2508,1041.0154
2.3189,33.2508,1041.0109
2.319,33.2508,1041.009
2.3191,33.2508,1041.0072
2.3192,33.2508,1041.0054
2.3193,33.2508,1041.0035
2.3194,33.2508,1041.0016
2.3195,33.2508,1040.9666
2.3196,33.2508,1040.6753
2.3197,33.2508,1040.384
2.3198,33.2508,1040.0928
2.3199,33.2508,1039.8015
2.32,33.2508,1039.5103
2.3201,33.2508,1039.219
2.3202,33.2508,1038.9281
2.3203,33.2508,1038.6387
2.3204,33.2508,1038.3492
2.3205,33.2508,1038.0598
2.3206,33.2508,1037.7705
2.3207,33.2508,1037.4811
2.3208,33.2508,1037.1917
2.3209,33.2508,1036.9028
2.321,33.2508,1036.6154
2.3211,33.2508,1036.3278
2.3212,33.2508,1036.0402
2.3213,33.2508,1035.7526
2.3214,33.2508,1035.465
2.3215,33.2508,1035.1775
2.3216,33.2508,1035.1882
2.3217,33.2508,1035.4795
2.3218,33.2508,1035.7708
2.3219,33.2508,1036.062
2.322,33.2508,1036.3533
2.3221,33.2508,1036.6445
2.3222,33.2508,1036.9358
2.3223,33.2508,1037.2271
2.3224,33.2508,1037.5183
2.3225,33.2508,1037.8097
2.3226,33.2508,1038.101
2.3227,33.2508,1038.3922
2.3228,33.2508,1038.6835
2.3229,33.2508,1038.9747
2.323,33.2508,1039.0396
2.3231,33.2508,1039.0414
2.3232,33.2508,1039.0432
2.3233,33.2508,1039.045
2.3234,33.2508,1039.0469
2.3235,33.2508,1039.0488
2.3236,33.2508,1039.0507
2.3237,33.2508,1039.1825
2.3238,33.2508,1039.3263
2.3239,33.2508,1039.4701
2.324,33.2508,1039.6139
2.3241,33.2508,1039.7577
2.3242,33.2508,1039.9014
2.3243,33.2508,1040.0452
2.3244,33.2508,1040.189
2.3245,33.2508,1040.3328
2.3246,33.2508,1040.4766
2.3247,33.2508,1040.6204
2.3248,33.2508,1040.7642
2.3249,33.2508,1040.908
2.325,33.2508,1041.0787
2.3251,33.2508,1041.37
2.3252,33.2508,1041.6613
2.3253,33.2508,1041.9525
2.3181,33.2509,1041.8864
2.3182,33.2509,1041.7108
2.3183,33.2509,1041.5264
2.3184,33.2509,1041.342
2.3185,33.2509,1041.1577
2.3186,33.2509,1040.9734
2.3187,33.2509,1040.7889
2.3188,33.2509,1040.6046
2.3189,33.2509,1040.5822
2.319,33.2509,1040.5629
2.3191,33.2509,1040.5435
2.3192,33.2509,1040.524
2.3193,33.2509,1040.5048
2.3194,33.2509,1040.4854
2.3195,33.2509,1040.4392
2.3196,33.2509,1040.1866
2.3197,33.2509,1039.9342
2.3198,33.2509,1039.6816
2.3199,33.2509,1039.4291
2.32,33.2509,1039.1765
2.3201,33.2509,1038.924
2.3202,33.2509,1038.6714
2.3203,33.2509,1038.4188
2.3204,33.2509,1038.1663
2.3205,33.2509,1037.9138
2.3206,33.2509,1037.6613
2.3207,33.2509,1037.4087
2.3208,33.2509,1037.1561
2.3209,33.2509,1036.9036
2.321,33.2509,1036.651
2.3211,33.2509,1036.3984
2.3212,33.2509,1036.1459
2.3213,33.2509,1035.8934
2.3214,33.2509,1035.6409
2.3215,33.2509,1035.3883
2.3216,33.2509,1035.396
2.3217,33.2509,1035.6486
2.3218,33.2509,1035.9011
2.3219,33.2509,1036.1537
2.322,33.2509,1036.4063
2.3221,33.2509,1036.6588
2.3222,33.2509,1036.9114
2.3223,33.2509,1037.1764
2.3224,33.2509,1037.4484
2.3225,33.2509,1037.7202
2.3226,33.2509,1037.9922
2.3227,33.2509,1038.264
2.3228,33.2509,1038.536
2.3229,33.2509,1038.8079
2.323,33.2509,1038.8671
2.3231,33.2509,1038.8671
2.3232,33.2509,1038.8671
2.3233,33.2509,1038.8671
2.3234,33.2509,1038.8671
2.3235,33.2509,1038.8671
2.3236,33.2509,1038.8671
2.3237,33.2509,1039.0005
2.3238,33.2509,1039.1461
2.3239,33.2509,1039.2917
2.324,33.2509,1039.4374
2.3241,33.2509,1039.583
2.3242,33.2509,1039.7286
2.3243,33.2509,1039.8733
2.3244,33.2509,1039.9996
2.3245,33.2509,1040.1259
2.3246,33.2509,1040.2522
2.3247,33.2509,1040.3784
2.3248,33.2509,1040.5046
2.3249,33.2509,1040.631
